titulo,artista,edicion,genero,idioma,dificultad,coaches,archivo,edicion_codigo,map_name
Angeleyes,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,1,abbaangeleyes_pc.ipk,4884,ABBAAngelEyes
As Good as New,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,1,abbaasgoodasnew_pc.ipk,4884,ABBAAsGoodAsNew
Dancing Queen,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,1,abbadancingqueenprom_pc.ipk,4884,ABBADancingQueenPROM
Dancing Queen,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,1,abbadancingqueen_pc.ipk,4884,ABBADancingQueen
Fernando,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,1,2,abbafernando_pc.ipk,4884,ABBAFernando
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,1,1,abbagimmegimme_pc.ipk,4884,ABBAGimmeGimme
"Honey, Honey",ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,1,4,abbahoneyhoney_pc.ipk,4884,ABBAHoneyHoney
"Knowing Me, Knowing You",ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,4,abbaknowingme_pc.ipk,4884,ABBAKnowingMe
Lay All Your Love On Me,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,1,1,abbalayallyourlove_pc.ipk,4884,ABBALayAllYourLove
Mamma Mia,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,4,abbamammamia_pc.ipk,4884,ABBAMammaMia
"Money, Money, Money",ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,1,abbamoneymoney_pc.ipk,4884,ABBAMoneyMoney
SOS,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,2,abbasos_pc.ipk,4884,ABBASOS
Summer Night City,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,1,abbasummernight_pc.ipk,4884,ABBASummerNight
Super Trouper,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,1,1,abbasupertrooper_pc.ipk,4884,ABBASuperTrooper
Take A Chance On Me,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,2,abbatakeachance_pc.ipk,4884,ABBATakeAChance
The Winner Takes It All,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,3,1,abbathewinner_pc.ipk,4884,ABBATheWinner
Voulez-Vous,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,1,abbavoulezvous_pc.ipk,4884,ABBAVoulezVous
Waterloo,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,1,4,abbawaterloo_pc.ipk,4884,ABBAWaterloo
When I Kissed the Teacher,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,1,abbawhenikissed_pc.ipk,4884,ABBAWhenIKissed
A Little Less Conversation (JXL Radio Edit Remix),Elvis Presley vs. JXL,Just Dance,Dance / Electrónica,Inglés,1,1,conversation_pc.ipk,1,Conversation
Acceptable In The 80s,Calvin Harris,Just Dance,Infantil,Inglés,1,1,acceptable_pc.ipk,1,Acceptable
Bebe,Divine Brown,Just Dance,Pop / Dance-Pop,Inglés,2,1,bebe_pc.ipk,1,Bebe
Can't Get You Out of My Head,Kylie Minogue,Just Dance,Pop / Dance-Pop,Inglés,1,1,cantgetyou_pc.ipk,1,CantGetYou
Cotton Eye Joe,Rednex,Just Dance,Country / Folk,Inglés,2,1,cotton_pc.ipk,1,Cotton
DARE,Gorillaz,Just Dance,Hip-Hop / Rap,Inglés,2,1,dare_pc.ipk,1,Dare
Eye of the Tiger,Survivor,Just Dance,Rock / Pop Rock,Inglés,1,1,eyeofthetiger_pc.ipk,1,EyeOfTheTiger
Fame,The Girly Team,Just Dance,Banda Sonora / Musical,Inglés,1,1,fame_pc.ipk,1,Fame
Funplex (CSS Remix),The B-52's,Just Dance,Dance / Electrónica,Inglés,2,1,funplex_pc.ipk,1,Funplex
Girls & Boys,Blur,Just Dance,Rock / Pop Rock,Inglés,2,1,gandb_pc.ipk,1,GAndB
Girls Just Want To Have Fun,Cyndi Lauper,Just Dance,Pop / Dance-Pop,Inglés,1,1,girlsjustwant_pc.ipk,1,GirlsJustWant
Heart Of Glass,Blondie,Just Dance,Rock / Pop Rock,Inglés,1,1,heartofglass_pc.ipk,1,HeartOfGlass
